,Appointed,Name,Status,Address,Role,Appointed on,Register Location,Registration Number,Company status,Resigned on,Correspondence address,Register location,Registration number,Company number
405,SKY CHARM SECRETARIAL SERVICES LIMITED,WONDCOM LIMITED (07288181),,,Secretary,24 May 2012,,,Active,24 May 2013,"Chase Business Centre, 39-41 Chase Side, London, United Kingdom, N14 5BP",UK,8026775,07288181
406,SKY CHARM SECRETARIAL SERVICES LIMITED,"ZHEJIANG MYJOY IMPORT & EXPORT CO., LTD (08096431)",,,Secretary,7 June 2012,,,Active,30 April 2015,"Chase Business Centre, 39-41 Chase Side, London, England, N14 5BP",UK,8026775,08096431
407,SKY CHARM SECRETARIAL SERVICES LIMITED,NINGBO FAMEWAY CORPORATION LTD. (06915096),,,Secretary,17 May 2012,,,Active,17 May 2013,"Chase Business Centre, 39-41 Chase Side, London, United Kingdom, N14 5BP",UK,8026775,06915096
408,SKY CHARM SECRETARIAL SERVICES LIMITED,HOTALLO ELECTRONICS LTD (07238756),,,Secretary,30 April 2012,,,Active,22 April 2015,"Chase Business Centre, 39-41 Chase Side, London, United Kingdom, N14 5BP",UK,8026775,07238756
409,SKY CHARM SECRETARIAL SERVICES LIMITED,LIVECOM GLOBAL LIMITED (07331573),,,Secretary,24 May 2012,,,Dissolved,,"Chase Business Centre, 39-41 Chase Side, London, United Kingdom, N14 5BP",UK,8026775,07331573
410,SKY CHARM SECRETARIAL SERVICES LIMITED,DESKY ELECTRONICS LIMITED (07664457),,,Secretary,10 June 2012,,,Active,29 May 2015,"Chase Busienss Centre, 39-41 Chase Side, London, United Kingdom, N14 5BP",UK,8026775,07664457
411,SKY CHARM SECRETARIAL SERVICES LIMITED,GL SCIENCE LIMITED (08100725),,,Secretary,12 June 2012,,,Dissolved,,"Chase Business Centre, 39-41 Chase Side, London, England, N14 5BP",UK,8026775,08100725
412,SKY CHARM SECRETARIAL SERVICES LIMITED,"SOJITZE CO., LTD (06932904)",,,Secretary,28 May 2012,,,Dissolved,,"Chase Business Centre, 39-41 Chase Side, London, United Kingdom, N14 5BP",UK,8026775,06932904
413,SKY CHARM SECRETARIAL SERVICES LIMITED,SUN SHINE (UK) MARINE LTD (06906180),,,Secretary,14 May 2012,,,Active,12 April 2014,"Chase Business Centre, 39-41 Chase Side, London, United Kingdom, N14 5BP",UK,8026775,06906180
414,SKY CHARM SECRETARIAL SERVICES LIMITED,EX COMMUNICATIONS GROUP LTD (06944538),,,Secretary,1 June 2012,,,Dissolved,25 June 2014,"Chase Business Centre, 39-41 Chse Side, London, United Kingdom, N14 5BP",UK,8026775,06944538
415,SKY CHARM SECRETARIAL SERVICES LIMITED,BIZWIN  INTERNATIONAL LIMITED (07253307),,,Secretary,13 May 2012,,,Active,,"Chase Business Centre, 39-41 Chase Side, London, United Kingdom, N14 5BP",UK,8026775,07253307
416,SKY CHARM SECRETARIAL SERVICES LIMITED,PROV HOLDING LIMITED (07661400),,,Secretary,7 June 2012,,,Active,7 June 2015,"Chase Business Centre, 39-41 Chase Side, London, United Kingdom, N14 5BP",UK,8026775,07661400
417,SKY CHARM SECRETARIAL SERVICES LIMITED,"BIOLAND INTERNATIONAL CO., LIMITED (08102242)",,,Secretary,12 June 2012,,,Active,,"Chase Business Centre, 39-41 Chase Side, London, England, N14 5BP",UK,8026775,08102242
418,SKY CHARM SECRETARIAL SERVICES LIMITED,VICTORIA HOLDING LIMITED (08105830),,,Secretary,14 June 2012,,,Active,14 June 2015,"Chase Business Centre, 39-41 Chase Side, London, England, N14 5BP",UK,8026775,08105830
419,SKY CHARM SECRETARIAL SERVICES LIMITED,RUSLINK COMPLEX LTD (07715267),,,Secretary,6 June 2012,,,Dissolved,6 June 2013,"Chase Business Centre, 39-41 Chase Side, London, United Kingdom, N14 5BP",UK,8026775,07715267
420,SKY CHARM SECRETARIAL SERVICES LIMITED,"GREEN SOURCING CO., LTD (08109179)",,,Secretary,18 June 2012,,,Active,26 May 2016,"Chase Business Centre, 39-41 Chase Side, London, England, N14 5BP",UK,8026775,08109179
421,SKY CHARM SECRETARIAL SERVICES LIMITED,GRANDEUR TRADING LIMITED (07652399),,,Secretary,28 May 2012,,,Active,10 April 2014,"Chase Business Centre, 39-41 Chase Side, London, United Kingdom, N14 5BP",UK,8026775,07652399
422,SKY CHARM SECRETARIAL SERVICES LIMITED,DREAM OF SPACE TECHNOLOGY LTD (08109169),,,Secretary,18 June 2012,,,Dissolved,,"Chase Business Centre, 39-41 Chase Side, London, England, N14 5BP",UK,8026775,08109169
423,SKY CHARM SECRETARIAL SERVICES LIMITED,CCN INDUSTRIES LTD (06962019),,,Secretary,8 June 2012,,,Active,14 July 2014,"Chase Business Centre, 39-41 Chase Side, London, United Kingdom, N14 5BP",UK,8026775,06962019
424,SKY CHARM SECRETARIAL SERVICES LIMITED,TRANSLATE WORLDWIDE LTD (08111052),,,Secretary,19 June 2012,,,Active,19 June 2013,"Chase Business Centre, 39-41 Chase Side, London, England, N14 5BP",UK,8026775,08111052
425,SKY CHARM SECRETARIAL SERVICES LIMITED,CLEANING NEW ENERGY LIMITED (07668575),,,Secretary,14 June 2012,,,Dissolved,,"Chase Business Centre, 39-41 Chase Side, London, United Kingdom, N14 5BP",UK,8026775,07668575
426,SKY CHARM SECRETARIAL SERVICES LIMITED,HZF AUTOPARTS MFG. CO. LIMITED (05491308),,,Secretary,4 June 2012,,,Active,4 June 2014,"Chase Business Centre, 39-41 Chase Side, London, United Kingdom, N14 5BP",UK,8026775,05491308
427,SKY CHARM SECRETARIAL SERVICES LIMITED,"SINE (UK) LABORATORIES CO., LTD (07698272)",,,Secretary,6 June 2012,,,Active,17 July 2014,"Chase Business Centre, 39-41 Chase Side, London, United Kingdom, N14 5BP",UK,8026775,07698272
428,SKY CHARM SECRETARIAL SERVICES LIMITED,NSS INDUSTRY LTD (06966006),,,Secretary,8 June 2012,,,Dissolved,17 July 2014,"Chase Business Centre, 39-41 Chase Side, London, United Kingdom, N14 5BP",UK,8026775,06966006
429,SKY CHARM SECRETARIAL SERVICES LIMITED,"UNIQCHEM (UK) CO., LTD (07683526)",,,Secretary,1 June 2012,,,Active,18 June 2014,"Chase Business Centre, 39-41 Chase Side, London, United Kingdom, N14 5BP",UK,8026775,07683526
430,SKY CHARM SECRETARIAL SERVICES LIMITED,"C&C HOUSE GROUP CO., LTD (06925701)",,,Secretary,5 June 2012,,,Active,7 May 2014,"Chase Business Centre, 39-41 Chase Side, London, United Kingdom, N14 5BP",UK,8026775,06925701
431,SKY CHARM SECRETARIAL SERVICES LIMITED,CORELIA GROUP LTD (06636690),,,Secretary,13 June 2012,,,Active,27 June 2014,"Chase Business Centre, 39-41 Chase Side, London, United Kingdom, N14 5BP",UK,8026775,06636690
432,SKY CHARM SECRETARIAL SERVICES LIMITED,"SHENZHEN KONLUX CO., LTD (08121217)",,,Secretary,27 June 2012,,,Dissolved,,"Chase Business Centre, 39-41 Chase Side, London, England, N14 5BP",UK,8026775,08121217
433,SKY CHARM SECRETARIAL SERVICES LIMITED,"GLOBAL UNION FAVOUR TRADING CO., LTD. (06938354)",,,Secretary,1 June 2012,,,Dissolved,,"Chase Business Centre, 39-41 Chase Side, London, United Kingdom, N14 5BP",UK,8026775,06938354
434,SKY CHARM SECRETARIAL SERVICES LIMITED,"FIREPOWER CO., LTD (08121415)",,,Secretary,27 June 2012,,,Dissolved,,"Chase Business Centre, 39-41 Chase Side, London, England, N14 5BP",UK,8026775,08121415
435,SKY CHARM SECRETARIAL SERVICES LIMITED,"UK REVENTON GENERATOR MANUFACTURING CO., LTD (08121633)",,,Secretary,27 June 2012,,,Active,,"Chase Business Centre, 39-41 Chase Side, London, England, N14 5BP",UK,8026775,08121633
436,SKY CHARM SECRETARIAL SERVICES LIMITED,CANKEY PETROLEUM LIMITED (06666619),,,Secretary,15 June 2012,,,Active,31 May 2014,"Chase Business Centre, 39-41 Chase Side, London, United Kingdom, N14 5NP",UK,8026775,06666619
437,SKY CHARM SECRETARIAL SERVICES LIMITED,DEVOR FASHION GROUP (UK) LIMITED (08111433),,,Secretary,19 June 2012,,,Dissolved,,"Chase Business Centre, 39-41 Chase Side, London, England, N14 5BP",UK,8026775,08111433
438,SKY CHARM SECRETARIAL SERVICES LIMITED,SUP-VISION INTERNATIONAL LTD (08108137),,,Secretary,18 June 2012,,,Active,11 July 2016,"Chase Business Centre, 39-41 Chase Side, London, England, N14 5BP",UK,8026775,08108137
439,SKY CHARM SECRETARIAL SERVICES LIMITED,FORBOS INTERNATIONAL TRADING LIMITED (07280510),,,Secretary,10 June 2012,,,Dissolved,,"Chase Business Centre, 39-41 Chase Side, London, United Kingdom, N14 5BP",UK,8026775,07280510
440,SKY CHARM SECRETARIAL SERVICES LIMITED,"THE MILESTONE ENTERPRISE CO., LTD (07688705)",,,Secretary,28 June 2012,,,Dissolved,,"Chase Business Centre, 39-41 Chase Side, London, United Kingdom, N14 5BP",UK,8026775,07688705
441,SKY CHARM SECRETARIAL SERVICES LIMITED,BEST INDUSTRIES LIMITED (06961201),,,Secretary,24 June 2012,,,Active,21 June 2013,"Chase Business Centre, 39-41 Chase Side, London, United Kingdom, N14 5BP",UK,8026775,06961201
442,SKY CHARM SECRETARIAL SERVICES LIMITED,"HAINING FUXING COMPOUND NEW MATERIAL CO., LTD (07718279)",,,Secretary,25 June 2012,,,Active,25 June 2012,"Chase Business Centre, 39-41 Chase Side, London, United Kingdom, N14 5BP",UK,8026775,07718279
443,SKY CHARM SECRETARIAL SERVICES LIMITED,07670616 LIMITED (07670616),,,Secretary,15 June 2012,,,Dissolved,15 June 2013,"Chase Business Centre, 39-41 Chase Side, London, United Kingdom, N14 5BP",UK,8026775,07670616
444,SKY CHARM SECRETARIAL SERVICES LIMITED,FOREX SINY MARKETS LTD (07674703),,,Secretary,20 June 2012,,,Dissolved,,"Chase Business Centre, 39-41 Chase Side, London, United Kingdom, N14 5BP",UK,8026775,07674703
445,SKY CHARM SECRETARIAL SERVICES LIMITED,RIVER TOP INTERNATIONAL LIMITED (08130161),,,Secretary,4 July 2012,,,Active,13 June 2016,"Chae Business Centre, 39-41 Chase Side, London, England, N14 5BP",UK,8026775,08130161
446,SKY CHARM SECRETARIAL SERVICES LIMITED,INTERNATIONAL DEVELOPMENT SHARE LIMITED (08130268),,,Secretary,4 July 2012,,,Dissolved,,"Chase Business Centre, 39-41 Chase Side, London, England, N14 5BP",UK,8026775,08130268
447,SKY CHARM SECRETARIAL SERVICES LIMITED,"SENMON INTERNATIONAL CO., LTD (08130326)",,,Secretary,4 July 2012,,,Dissolved,4 July 2013,"Chase Business Centre, 39-41 Chase Side, London, England, N14 5BP",UK,8026775,08130326
448,SKY CHARM SECRETARIAL SERVICES LIMITED,W.A.S DESIGN CONSULTANT LIMITED (07648170),,,Secretary,26 May 2012,,,Dissolved,27 April 2015,"Chase Business Centre, 39-41 Cahse Side, London, United Kingdom, N14 5BP",UK,8026775,07648170
449,SKY CHARM SECRETARIAL SERVICES LIMITED,"PHENIX INTERNATIONAL TRADING CO., LTD (08133374)",,,Secretary,6 July 2012,,,Dissolved,,"Chase Business Centre, 39-41 Chase Side, London, England, N14 5BP",UK,8026775,08133374
450,SKY CHARM SECRETARIAL SERVICES LIMITED,"MEGA GLORY DEVELOPMENT CO., LTD (08132371)",,,Secretary,5 July 2012,,,Dissolved,,"Chase Business Centre, 39-41 Chas Eside, London, England, N14 5BP",UK,8026775,08132371
451,SKY CHARM SECRETARIAL SERVICES LIMITED,"QINGDAO DONGDU CO., LTD (08119819)",,,Secretary,26 June 2012,,,Dissolved,,"Chase Business Centre, 39-41 Chase Side, London, England, N14 5BP",UK,8026775,08119819
452,SKY CHARM SECRETARIAL SERVICES LIMITED,AWOSOFT TECHNOLOGY COMPANY LIMITED (08131918),,,Secretary,5 July 2012,,,Active,5 July 2012,"Chase Business Centre, 39-41 Chase Side, London, England, N14 5BP",UK,8026775,08131918
453,SKY CHARM SECRETARIAL SERVICES LIMITED,"HUANXIN INDUSTRY SHARES CO., LIMITED (08110960)",,,Secretary,19 June 2012,,,Dissolved,,"Chase Business Centre, 39-41 Chase Side, London, England, N14 5BP",UK,8026775,08110960
454,SKY CHARM SECRETARIAL SERVICES LIMITED,UK GIIM&DIIN CLOTHING COMPANY LIMITED (07635373),,,Secretary,16 May 2012,,,Dissolved,,"Chase Business Centre, 39-41 Chase Side, London, United Kingdom, N14 5BP",UK,8026775,07635373
455,SKY CHARM SECRETARIAL SERVICES LIMITED,"JIAXING AUTO STUFF CO., LTD (07694465)",,,Secretary,26 June 2012,,,Dissolved,,"Chase Business Centre, 39-41 Chase Side, London, United Kingdom, N14 5BP",UK,8026775,07694465
456,SKY CHARM SECRETARIAL SERVICES LIMITED,QUFU SHENGTAI INTERNATIONAL LTD. (08133370),,,Secretary,6 July 2012,,,Active,20 July 2016,"Chase Business Centre, 39-41 Chase Side, London, England, N14 5BP",UK,8026775,08133370
457,SKY CHARM SECRETARIAL SERVICES LIMITED,TOKUEI INTERNATIONAL LOGISTICS LIMITED (07300245),,,Secretary,14 June 2012,,,Dissolved,24 June 2014,"Chase Business Centre, 39-41 Chase Side, London, United Kingdom, N14 5BP",UK,8026775,07300245
458,SKY CHARM SECRETARIAL SERVICES LIMITED,"BIOPLUS PHARMA CO., LTD (08133419)",,,Secretary,6 July 2012,,,Active,6 July 2014,"Chase Business Centre, 39-41 Chase Side, London, England, N14 5BP",UK,8026775,08133419
459,SKY CHARM SECRETARIAL SERVICES LIMITED,"INNOVA CHEMICAL CO., LIMITED (08139341)",,,Secretary,11 July 2012,,,Active,28 June 2013,"Chase Business Centre, 39-41 Chase Side, London, England, N14 5BP",UK,8026775,08139341
460,SKY CHARM SECRETARIAL SERVICES LIMITED,"MAKITE CO., LIMITED (06947681)",,,Secretary,17 June 2012,,,Active,17 June 2014,"Chase Business Centre, 39-41 Chase Side, London, United Kingdom, N14 5BP",UK,8026775,06947681
461,SKY CHARM SECRETARIAL SERVICES LIMITED,GREEN INT'L TRADING LIMITED (07676552),,,Secretary,23 June 2012,,,Active,21 June 2015,"Chase Business Centre, 39-41 Chase Side, London, United Kingdom, N14 5BP",UK,8026775,07676552
462,SKY CHARM SECRETARIAL SERVICES LIMITED,MEDIPHARM TECH LIMITED (06639582),,,Secretary,25 June 2012,,,Dissolved,,"Chase Business Centre, 39-41 Chase Side, London, United Kingdom, N14 5BP",UK,8026775,06639582
463,SKY CHARM SECRETARIAL SERVICES LIMITED,NORTH EUROPE PETROLEUM LTD. (06290416),,,Secretary,5 June 2012,,,Dissolved,5 June 2014,"Chase Business Centre, 39-41 Chase Side, London, United Kingdom, N14 5BP",UK,8026775,06290416
464,SKY CHARM SECRETARIAL SERVICES LIMITED,ORIENTAL EMPIRE INT'L LTD (08126457),,,Secretary,2 July 2012,,,Dissolved,,"Chase Business Centre, 39-41 Chase Side, London, England, N14 5BP",UK,8026775,08126457
465,SKY CHARM SECRETARIAL SERVICES LIMITED,OXBOND MATERIALS LTD (08135872),,,Secretary,9 July 2012,,,Dissolved,,"Chase Business Centre, 39-41 Chase Side, London, England, N14 5BP",UK,8026775,08135872
466,SKY CHARM SECRETARIAL SERVICES LIMITED,"SHANDONG EASTERN PHARMA CO., LTD. (08135779)",,,Secretary,9 July 2012,,,Dissolved,,"Chase Business Centre, 39-41 Chase Side, London, England, N14 5BP",UK,8026775,08135779
467,SKY CHARM SECRETARIAL SERVICES LIMITED,FRANKINCENSE VANITY LTD. (06967441),,,Secretary,3 July 2012,,,Active,,"Chase Business Centre, 39-41 Chase Side, London, United Kingdom, N14 5BP",UK,8026775,06967441
468,SKY CHARM SECRETARIAL SERVICES LIMITED,"BONE PLUS CO., LTD. (08140984)",,,Secretary,12 July 2012,,,Active,5 July 2013,"Chase Business Centre, 39-41 Cahse Side, London, England, N14 5BP",UK,8026775,08140984
469,SKY CHARM SECRETARIAL SERVICES LIMITED,GREEN INT'L TRADING LIMITED (07676552),,,Secretary,21 June 2012,,,Active,21 June 2012,"Chase Business Centre, 39-41 Chase Side, London, United Kingdom, N14 5BP",UK,8026775,07676552
470,SKY CHARM SECRETARIAL SERVICES LIMITED,GREEN INT'L TRADING LIMITED (07676552),,,Secretary,21 June 2012,,,Active,21 June 2012,"Chase Business Centre, 39-41 Chase Side, London, United Kingdom, N14 5BP",UK,8026775,07676552
471,SKY CHARM SECRETARIAL SERVICES LIMITED,"XIAMEN LONGTILE BUILDING MATERIAL INDUSTRY CO., LTD. (08144833)",,,Secretary,16 July 2012,,,Active,5 June 2013,"Chase Business Centre, 39-41 Chase Side, London, England, N14 5BP",UK,8026775,08144833
472,SKY CHARM SECRETARIAL SERVICES LIMITED,GOLDEN BRIGHT ENTERPRISE CORPORATION LIMITED (08143650),,,Secretary,16 July 2012,,,Active,15 July 2016,"Chase Business Centre, 39-41 Chase Side, London, England, N14 5BP",UK,8026775,08143650
473,SKY CHARM SECRETARIAL SERVICES LIMITED,GOLDEN PAPER RESOURCE LIMITED (06955024),,,Secretary,3 July 2012,,,Active,20 June 2013,"Chase Business Centre, 39-41 Cahse Side, London, United Kingdom, N14 5BP",UK,8026775,06955024
474,SKY CHARM SECRETARIAL SERVICES LIMITED,MORRIS DESIGN & ENGINEERING GROUP LTD (08148080),,,Secretary,18 July 2012,,,Active,18 July 2014,"Chase Business Centre, 39-41 Chase Side, London, England, N14 5BP",UK,8026775,08148080
475,SKY CHARM SECRETARIAL SERVICES LIMITED,LUMENDESIGN TRADING LTD (08144244),,,Secretary,16 July 2012,,,Active,16 July 2013,"Chase Business Centre, 39-41 Chase Side, London, England, N14 5BP",UK,8026775,08144244
476,SKY CHARM SECRETARIAL SERVICES LIMITED,FUJI INDUSTRIAL GROUP (UK) LIMITED (08133753),,,Secretary,6 July 2012,,,Active,11 August 2016,"Chase Business Centre, 39-41 Cahse Side, London, England, N14 5NP",UK,8026775,08133753
477,SKY CHARM SECRETARIAL SERVICES LIMITED,STARFIELD INTERNATIONAL ENTERPRISES LIMITED (07331446),,,Secretary,28 June 2012,,,Active,8 July 2014,"Chase Business Centre, 39-41 Cahse Side, London, United Kingdom, N14 5BP",UK,8026775,07331446
478,SKY CHARM SECRETARIAL SERVICES LIMITED,ITALY SHEEN.P HOLDING GROUP LTD (07713822),,,Secretary,6 July 2012,,,Dissolved,,"Chase Business Centre, 39-41 Chasse Side, London, United Kingdom, N14 5BP",UK,8026775,07713822
479,SKY CHARM SECRETARIAL SERVICES LIMITED,GREEN INT'L TRADING LIMITED (07676552),,,Secretary,21 June 2012,,,Active,21 June 2012,"Chase Business Centre, 39-41 Chase Side, London, United Kingdom, N14 5BP",UK,8026775,07676552
480,SKY CHARM SECRETARIAL SERVICES LIMITED,PLUS SKY LIMITED (08139056),,,Secretary,11 July 2012,,,Dissolved,,"Chase Business Centre, 39-41 Chase Side, London, England, N14 5BP",UK,8026775,08139056
481,SKY CHARM SECRETARIAL SERVICES LIMITED,06931804 LIMITED (06931804),,,Secretary,7 June 2012,,,Active,7 June 2013,"Chase Business Centre, 39-41 Chase Side, London, United Kingdom, N14 5BP",UK,8026775,06931804
482,SKY CHARM SECRETARIAL SERVICES LIMITED,NEW IT STAR LTD (08142075),,,Secretary,13 July 2012,,,Dissolved,,"Chase Business Centre, 39-41 Chase Side, London, England, N14 5BP",UK,8026775,08142075
483,SKY CHARM SECRETARIAL SERVICES LIMITED,"CAISSA INTERNATIONAL CO., LTD (07264140)",,,Secretary,25 May 2012,,,Active,,"Chase Business Centre, 39-41 Chase Side, London, United Kingdom, N14 5BP",UK,8026775,07264140
484,SKY CHARM SECRETARIAL SERVICES LIMITED,"SAFO LANKA (U.K.) CO., LTD (08154989)",,,Secretary,24 July 2012,,,Dissolved,,"Chase Business Centre, 39-41 Chase Side, London, England, N14 5BP",UK,8026775,08154989
485,SKY CHARM SECRETARIAL SERVICES LIMITED,"DEBORN CO., LTD (08149833)",,,Secretary,19 July 2012,,,Active,,"Chase Business Centre, 39-41 Chase Side, London, England, N14 5BP",UK,8026775,08149833
486,SKY CHARM SECRETARIAL SERVICES LIMITED,SAMKINGS CHINA LIMITED (08145498),,,Secretary,17 July 2012,,,Dissolved,,"Chase Business Centre, 39-41 Chase Side, London, England, N14 5BP",UK,8026775,08145498
487,SKY CHARM SECRETARIAL SERVICES LIMITED,PV INVESTOR LIMITED (08140705),,,Secretary,12 July 2012,,,Dissolved,,"Chase Business Centre, 39-41 Chase Side, London, England, N14 5BP",UK,8026775,08140705
488,SKY CHARM SECRETARIAL SERVICES LIMITED,GOVI RUNNING CO. LIMITED (05525155),,,Secretary,18 July 2012,,,Active,18 July 2013,"Chase Business Centre, 39-41 Chase Side, London, United Kingdom, N14 5BP",UK,8026775,05525155
489,SKY CHARM SECRETARIAL SERVICES LIMITED,"QUZHOU BEAUTY CO., LTD (08146342)",,,Secretary,17 July 2012,,,Active,14 June 2015,"Chase Business Centre, 39-41 Chase Side, London, England, N14 5BP",UK,8026775,08146342
490,SKY CHARM SECRETARIAL SERVICES LIMITED,"SHANGHAI J&M STEEL CO., LTD (08154579)",,,Secretary,24 July 2012,,,Dissolved,,"Chase Business Centre, 39-41 Chase Side, London, England, N14 5BP",UK,8026775,08154579
491,SKY CHARM SECRETARIAL SERVICES LIMITED,3W INVESTMENTS LIMITED (08139123),,,Secretary,11 July 2012,,,Active,13 June 2014,"Chase Business Centre, 39-41 Chase Side, London, England, N14 5BP",UK,8026775,08139123
492,SKY CHARM SECRETARIAL SERVICES LIMITED,ROSTEC ADVANCED TECHNOLOGIES LTD (08148061),,,Secretary,18 July 2012,,,Dissolved,2 July 2015,"Chase Business Centre, 39-41 Chase Side, London, England, N14 5BP",UK,8026775,08148061
493,SKY CHARM SECRETARIAL SERVICES LIMITED,"ONELIGHT LED TECH CO., LTD (07342785)",,,Secretary,17 July 2012,,,Active,,"Chase Business Centre, 39-41 Chase Side, London, United Kingdom, N14 5BP",UK,8026775,07342785
494,SKY CHARM SECRETARIAL SERVICES LIMITED,YIFU GROUP LTD (08142838),,,Secretary,13 July 2012,,,Dissolved,,"Chse Business Centre, 39-41 Chase Side, London, England, N14 5BP",UK,8026775,08142838
495,SKY CHARM SECRETARIAL SERVICES LIMITED,UK LIN SHI INTERNATIONAL GROUP LIMITED (07756929),,,Secretary,27 July 2012,,,Dissolved,,"Chase Business Centre, 39-41 Chase Side, London, United Kingdom, N14 5BP",UK,8026775,07756929
496,SKY CHARM SECRETARIAL SERVICES LIMITED,"UK YNT INDUSTRIAL CO., LIMITED (08151672)",,,Secretary,20 July 2012,,,Dissolved,,"Chase Business Centre, 39-41 Cahse Side, London, England, N14 5BP",UK,8026775,08151672
497,SKY CHARM SECRETARIAL SERVICES LIMITED,PROCHIN HEALTH INTERNATIONAL CO. LIMITED (06840440),,,Secretary,17 July 2012,,,Active,17 July 2013,"Chase Business Centre, 39-41 Chase Side, London, United Kingdom, N14 5BP",UK,8026775,06840440
498,SKY CHARM SECRETARIAL SERVICES LIMITED,LINKAI GROUP LTD (08149832),,,Secretary,19 July 2012,,,Active,1 September 2014,"Chase Business Centre, 39-41 Chase Side, London, England, N14 5BP",UK,8026775,08149832
499,SKY CHARM SECRETARIAL SERVICES LIMITED,UK SAFIN.D FURNITURE LTD (06963254),,,Secretary,6 July 2012,,,Dissolved,27 May 2014,"Chase Business Centre, 39-41 Chase Side, London, United Kingdom, N14 5BP",UK,8026775,06963254
500,SKY CHARM SECRETARIAL SERVICES LIMITED,STARCALL INTERNATIONAL GROUP LIMITED (07706605),,,Secretary,15 July 2012,,,Dissolved,15 July 2012,"Chase Business Centre, 39-41 Chase Side, London, United Kingdom, N14 5BP",UK,8026775,07706605
501,SKY CHARM SECRETARIAL SERVICES LIMITED,LC PACK SOLUTIONS LIMITED (07607948),,,Secretary,18 April 2012,,,Dissolved,,"Chase Business Centre, 39-41 Chase Side, London, United Kingdom, N14 5BP",UK,8026775,07607948
502,SKY CHARM SECRETARIAL SERVICES LIMITED,UK BEFOVE (INTERNATIONAL) HOLDING LTD (07567958),,,Secretary,17 March 2012,,,Active,17 March 2014,"Chase Busiiness Centre, 39-41 Chas Eside, London, United Kingdom, N14 5BP",UK,8026775,07567958
503,SKY CHARM SECRETARIAL SERVICES LIMITED,NACOCO LTD (08156374),,,Secretary,25 July 2012,,,Dissolved,,"Chase Business Centre, 39-41 Chase Side, London, England, N14 5BP",UK,8026775,08156374
504,SKY CHARM SECRETARIAL SERVICES LIMITED,"UK RIVERSIDES FURNITURE CO., LTD. (07310884)",,,Secretary,12 July 2012,,,Active,2 September 2016,"Chase Business Centre, 39-41 Chase Side, London, United Kingdom, N14 5BP",UK,8026775,07310884
505,SKY CHARM SECRETARIAL SERVICES LIMITED,"SHANGHAI YONGRONG MACHINERY CO., LTD (08167673)",,,Secretary,3 August 2012,,,Dissolved,,"Chase Business Centre, 39-41 Chase Side, London, England, N14 5BP",UK,8026775,08167673
506,SKY CHARM SECRETARIAL SERVICES LIMITED,HENRY MASTER TECHNOLOGY LIMITED (08154436),,,Secretary,24 July 2012,,,Dissolved,,"Chase Businss Centre, 39-41 Chase Side, London, England, N14 5BP",UK,8026775,08154436
507,SKY CHARM SECRETARIAL SERVICES LIMITED,"JEFF MARINE CO., LTD (08156249)",,,Secretary,25 July 2012,,,Dissolved,,"Chase Business Centre, 39-41 Chase Side, London, England, N14 5BP",UK,8026775,08156249
508,SKY CHARM SECRETARIAL SERVICES LIMITED,JOY ENERGY LTD (07292272),,,Secretary,22 June 2012,,,Active,,"Chase Business Centre, 39-41 Chase Side, London, United Kingdom, N14 5BP",UK,8026775,07292272
509,SKY CHARM SECRETARIAL SERVICES LIMITED,BALLYA INTERNATIONAL LIMITED (08162834),,,Secretary,31 July 2012,,,Active,,"Chase Business Centre, 39-41 Chase Side, London, England, N14 5BP",UK,8026775,08162834
510,SKY CHARM SECRETARIAL SERVICES LIMITED,BOVII INTERNATIONAL TRADING LTD (06964362),,,Secretary,6 July 2012,,,Active,16 July 2015,"Chase Business Cnetre, 39-41 Chase Side, London, United Kingdom, N14 5BP",UK,8026775,06964362
511,SKY CHARM SECRETARIAL SERVICES LIMITED,"FUTURE (ENGLAND) CO., LIMITED (06337575)",,,Secretary,5 July 2012,,,Active,28 June 2016,"Chase Business Centre, 39-41 Chase Side, London, United Kingdom, N14 5BP",UK,8026775,06337575
512,SKY CHARM SECRETARIAL SERVICES LIMITED,"NINGBO SUNBOO COMMERCIAL TRADE CO., LIMITED (08144517)",,,Secretary,16 July 2012,,,Active,8 July 2014,"Chase Business Centre, 39-41 Chas Eside, London, England, N14 5BP",UK,8026775,08144517
513,SKY CHARM SECRETARIAL SERVICES LIMITED,"SHANGHAI PHOLEC SOLAR ENERGY CO., LTD (07703921)",,,Secretary,11 July 2012,,,Dissolved,,"Chase Business Centre, 39-41 Chase Side, London, United Kingdom, N14 5BP",UK,8026775,07703921
514,SKY CHARM SECRETARIAL SERVICES LIMITED,"DELFINO INDUSTRY CO., LTD (07693741)",,,Secretary,5 July 2012,,,Dissolved,,"Chase Business Centre, 39-41 Chase Side, London, United Kingdom, N14 5BP",UK,8026775,07693741
515,SKY CHARM SECRETARIAL SERVICES LIMITED,CRYSTALLINE PAN LIMITED (08151225),,,Secretary,20 July 2012,,,Dissolved,,"Chase Business Centre, 39-41 Chase Side, London, England, N14 5BP",UK,8026775,08151225
516,SKY CHARM SECRETARIAL SERVICES LIMITED,08171200 LTD. (08171200),,,Secretary,7 August 2012,,,Dissolved,,"Chase Business Centre, 39-41 Chase Side, London, England, N14 5BP",UK,8026775,08171200
