,Appointed,Name,Status,Address,Role,Appointed on,Register Location,Registration Number,Company status,Resigned on,Correspondence address,Register location,Registration number,Company number
23,SKY CHARM SECRETARIAL SERVICES LIMITED,HI-TECH DISP TECHNOLOGIES LIMITED (09975812),,,Secretary,28 January 2016,,,Active,,"Chase Business Centre, 39-41 Chase Side, London, United Kingdom, N14 5BP",UNITED KINGDOM,8026775,09975812
24,SKY CHARM SECRETARIAL SERVICES LIMITED,YURONG INTERNATIONAL LIMITED (09977038),,,Secretary,29 January 2016,,,Active,,"Chase Business Centre, 39-41 Chase Side, London, United Kingdom, N14 5BP",UNITED KINGDOM,8026775,09977038
25,SKY CHARM SECRETARIAL SERVICES LIMITED,"UK WORMSTAN PIANO CO., LTD (10244236)",,,Secretary,21 June 2016,,,Active,,"Chase Business Centre, 39-41 Chase Side, London, United Kingdom, N14 5BP",UNITED KINGDOM,8026775,10244236
26,SKY CHARM SECRETARIAL SERVICES LIMITED,"QINGDAO SANLIANFENG BIOLOGICAL PRODUCTS CO., LTD. (09962273)",,,Secretary,21 January 2016,,,Active,,"Chase Business Centre, 39-41 Chase Side, London, United Kingdom, N14 5BP",UNITED KINGDOM,8026775,09962273
27,SKY CHARM SECRETARIAL SERVICES LIMITED,"ZHEJIANG HOMETIME PRODUCTS CO., LTD (09962192)",,,Secretary,21 January 2016,,,Active,5 December 2016,"Chase Business Centre, 39-41 Chase Side, London, United Kingdom, N14 5BP",UNITED KINGDOM,8026775,09962192
28,SKY CHARM SECRETARIAL SERVICES LIMITED,"YIWU YONGJIE TRADING CO., LTD (10022473)",,,Secretary,23 February 2016,,,Active,9 January 2017,"Chase Business Centre, 39-41 Chase Side, London, United Kingdom, N14 5BP",UNITED KINGDOM,8026775,10022473
29,SKY CHARM SECRETARIAL SERVICES LIMITED,JINSTAR LIMITED (10009233),,,Secretary,17 February 2016,,,Active,,"Chase Business Centre, 39-41 Chase Side, London, United Kingdom, N14 5BP",UNITED KINGDOM,8026775,10009233
30,SKY CHARM SECRETARIAL SERVICES LIMITED,"BC IMPORT AND EXPORT CO., LTD (08829258)",,,Secretary,2 January 2016,,,Active,3 January 2016,"Chase Business Centre, 39-41 Chase Side, London, England, N14 5BP",UNITED KINGDOM,8026775,08829258
31,SKY CHARM SECRETARIAL SERVICES LIMITED,NUOVO PROMISE INDUSTRIAL LIMITED (08608098),,,Secretary,12 July 2013,,,Dissolved,,"Suite 106, Chase Business Centre, 39-41 Chase Side, London, United Kingdom, N14 5BP",UNITED KINGDOM,8026775,08608098
32,SKY CHARM SECRETARIAL SERVICES LIMITED,TRANWELL INTERNATIONAL LIMITED (07904378),,,Secretary,7 December 2012,,,Dissolved,,"Sky Charm Secretarial Services Limited, Chase Business Centre, 39-41 Chase Side, London, United Kingdom, N14 5BP",UNITED KINGDOM,8026775,07904378
33,SKY CHARM SECRETARIAL SERVICES LIMITED,"ORIENTAL INDUSTRY CO., LTD (09964772)",,,Secretary,22 January 2016,,,Active,31 March 2016,"Chase Business Centre, 39-41 Chase Side, London, United Kingdom, N14 5BP",UNITED KINGDOM,8026775,09964772
34,SKY CHARM SECRETARIAL SERVICES LIMITED,COLO INTERNATIONAL CORPORATION GROUP LTD (09962808),,,Secretary,21 January 2016,,,Active,6 December 2016,"Chase Business Centre, 39-41 Chase Side, London, United Kingdom, N14 5BP",UNITED KINGDOM,8026775,09962808
35,SKY CHARM SECRETARIAL SERVICES LIMITED,"SOULTRON CO., LTD (10019326)",,,Secretary,22 February 2016,,,Active,,"Chase Business Centre, 39-41 Chase Side, London, United Kingdom, N14 5BP",UNITED KINGDOM,8026775,10019326
36,SKY CHARM SECRETARIAL SERVICES LIMITED,BEST GARDEN INVESTMENT LIMITED (07365453),,,Secretary,21 January 2016,,,Active,,"Chase Business Centre, 39-41 Chase Side, London, England, N14 5BP",UNITED KINGDOM,8026775,07365453
37,SKY CHARM SECRETARIAL SERVICES LIMITED,"JINGLE MOULD & PLAST CO., LTD (08902205)",,,Secretary,20 January 2016,,,Active,,"Chase Business Centre, 39-41 Chase Side, London, England, N14 5BP",UNITED KINGDOM,8026775,08902205
38,SKY CHARM SECRETARIAL SERVICES LIMITED,FORTIS INTERNATIONAL EXCHANGE LTD (08867491),,,Secretary,21 February 2016,,,Active,9 November 2016,"Chase Business Centre, 39-41  Chase Side, London, England, N14 5BP",UNITED KINGDOM,8026775,08867491
39,SKY CHARM SECRETARIAL SERVICES LIMITED,"GRAND HARVEST INDUSTRIAL CO., LTD. (09974250)",,,Secretary,28 January 2016,,,Active,,"Chase Business Centre, 39-41 Chase Side, London, United Kingdom, N14 5BP",UNITED KINGDOM,8026775,09974250
40,SKY CHARM SECRETARIAL SERVICES LIMITED,"UK INTERNATIONAL GROUP (AIG) CO., LTD (09964905)",,,Secretary,22 January 2016,,,Active,,"Chase Business Centre, 39-41 Chase Side, London, United Kingdom, N14 5BP",UNITED KINGDOM,8026775,09964905
41,SKY CHARM SECRETARIAL SERVICES LIMITED,CHINA MATERIAL INDUSTRIAL GROUP LTD (08884820),,,Secretary,20 January 2016,,,Active,3 January 2017,"Chase Business Centre, 39-41 Chase Side, London, England, N14 5BP",UNITED KINGDOM,8026775,08884820
42,SKY CHARM SECRETARIAL SERVICES LIMITED,"CH TEXTILE CO., LIMITED (09978182)",,,Secretary,31 January 2016,,,Active,,"Chase Business Centre, 39-41 Chase Side, London, United Kingdom, N14 5BP",UNITED KINGDOM,8026775,09978182
43,SKY CHARM SECRETARIAL SERVICES LIMITED,"SHANDONG GOLD TOP POLYMER GROUP CO., LTD (09981269)",,,Secretary,2 February 2016,,,Active,,"Chase Business Centre, 39-41 Chase Side, London, United Kingdom, N14 5BP",UNITED KINGDOM,8026775,09981269
44,SKY CHARM SECRETARIAL SERVICES LIMITED,"MAGTRANS INDUSTRIAL CO., LTD (08373589)",,,Secretary,14 January 2016,,,Active,6 December 2016,"Chase Business Centre, 39-41 Chase Side, London, England, N14 5BP",UNITED KINGDOM,8026775,08373589
45,SKY CHARM SECRETARIAL SERVICES LIMITED,"EVERBRIGHT ASIA INDUSTRIAL DEVELOPMENT CO., LTD (09979126)",,,Secretary,1 February 2016,,,Active,6 January 2017,"Chase Business Centre, 39-41 Chase Side, London, United Kingdom, N14 5BP",UNITED KINGDOM,8026775,09979126
46,SKY CHARM SECRETARIAL SERVICES LIMITED,"GAO DI TRADE CO., LTD (10022498)",,,Secretary,23 February 2016,,,Active,,"Chase Business Centre, 39-41 Chase Side, London, United Kingdom, N14 5BP",UNITED KINGDOM,8026775,10022498
47,SKY CHARM SECRETARIAL SERVICES LIMITED,"KEVINTER INTERNATIONAL TRADE CO., LTD (10017917)",,,Secretary,22 February 2016,,,Active,,"Chase Business Centre, 39-41 Chase Side, London, United Kingdom, N14 5BP",UNITED KINGDOM,8026775,10017917
48,SKY CHARM SECRETARIAL SERVICES LIMITED,"WORLEY CONSULTING CO., LTD (10019411)",,,Secretary,22 February 2016,,,Active,6 January 2017,"Chase Business Centre, 39-41 Chase Side, London, United Kingdom, N14 5BP",UNITED KINGDOM,8026775,10019411
49,SKY CHARM SECRETARIAL SERVICES LIMITED,NOBLE INVESTMENT CONSULTING LIMITED (09700949),,,Secretary,24 July 2015,,,Active,22 July 2016,"Chase Business Centre, 39-41 Chase Side, London, United Kingdom, N14 5BP",UNITED KINGDOM,8026775,09700949
50,SKY CHARM SECRETARIAL SERVICES LIMITED,"CAPTAIN ELECTRONIC CO., LTD (09702811)",,,Secretary,25 July 2015,,,Active,25 August 2016,"Chase Business Centre, 39-41 Chase Side, London, United Kingdom, N14 5BP",UNITED KINGDOM,8026775,09702811
51,SKY CHARM SECRETARIAL SERVICES LIMITED,IBABY TRADE LTD (09143343),,,Secretary,24 July 2015,,,Active,15 July 2016,"Chase Business Centre, 39-41 Chase Side, London, England, N14 5BP",UNITED KINGDOM,8026775,09143343
52,SKY CHARM SECRETARIAL SERVICES LIMITED,"LFF INTERNATIONAL CO., LTD (09703886)",,,Secretary,27 July 2015,,,Active,26 July 2016,"Chase Business Centre, 39-41 Chase Side, London, United Kingdom, N14 5BP",UNITED KINGDOM,8026775,09703886
53,SKY CHARM SECRETARIAL SERVICES LIMITED,"CARRIER BOOKING CO., LTD. (08641903)",,,Secretary,11 July 2015,,,Active,29 June 2016,"Chase Business Centre, 39-41 Chase Side, London, England, N14 5BP",UNITED KINGDOM,8026775,08641903
54,SKY CHARM SECRETARIAL SERVICES LIMITED,"BEIJING SHENG MAO TECHNOLOGY DEVELOPMENT CO., LTD (09705218)",,,Secretary,27 July 2015,,,Active,,"Chase Business Centre, 39-41 Chase Side, London, United Kingdom, N14 5BP",UNITED KINGDOM,8026775,09705218
55,SKY CHARM SECRETARIAL SERVICES LIMITED,"ASTAR INDUSTRY CO., LTD (09705209)",,,Secretary,27 July 2015,,,Dissolved,,"Chase Business Centre, 39-41 Chase Side, London, United Kingdom, N14 5BP",UNITED KINGDOM,8026775,09705209
56,SKY CHARM SECRETARIAL SERVICES LIMITED,"TRACYTOOLS MACHINE CO., LTD (09725570)",,,Secretary,10 August 2015,,,Active,29 June 2016,"Chase Business Centre, 39-41 Chase Side, London, United Kingdom, N14 5BP",UNITED KINGDOM,8026775,09725570
57,SKY CHARM SECRETARIAL SERVICES LIMITED,"HEALTHCARE PHARMACHEM CO., LTD (09705442)",,,Secretary,28 July 2015,,,Active,,"Chase Business Centre, 39-41 Chase Side, London, United Kingdom, N14 5BP",UNITED KINGDOM,8026775,09705442
58,SKY CHARM SECRETARIAL SERVICES LIMITED,"XINLEISHEN TRADING CO., LIMITED (09707340)",,,Secretary,28 July 2015,,,Dissolved,,"Chase Business Centre, 39-41 Chase Side, London, United Kingdom, N14 5BP",UNITED KINGDOM,8026775,09707340
59,SKY CHARM SECRETARIAL SERVICES LIMITED,"POWAVE ELECTRONICS CO., LTD (09217235)",,,Secretary,24 July 2015,,,Active,25 August 2016,"Chase Business Centre, 39-41 Chase Side, London, England, N14 5BP",UNITED KINGDOM,8026775,09217235
60,SKY CHARM SECRETARIAL SERVICES LIMITED,KONE DIGITAL LIMITED (09096346),,,Secretary,20 June 2014,,,Active,31 July 2015,"Chase Business Centre, 39-41 Chase Side, London, United Kingdom, N14 5BP",UNITED KINGDOM,8026775,09096346
61,SKY CHARM SECRETARIAL SERVICES LIMITED,ULTRAMIND DESIGNS LTD (09726358),,,Secretary,11 August 2015,,,Active,22 August 2016,"Chase Business Centre, 39-41 Chase Side, London, United Kingdom, N14 5BP",UNITED KINGDOM,8026775,09726358
