ship_imo,company_imo,role,company_name,company_address,date_of_effect
9066978,5963351,Registered owner,FIRST OIL JV CO LTD,"Jongbaek 1-dong, Rakrang-guyok, Pyongyang, North Korea.",since 11/12/2016
9066978,9991001,ISM Manager,UNKNOWN,,since 11/12/2016
8649840,5575722,Ship manager/Commercial manager,MARS SHIPPING CO LTD,"Chilgol 1-dong, Mangyongdae-guyok, Pyongyang, North Korea.",during 12/2016
8649840,4183032,Registered owner,DAOHE SHIPPING CO LTD,"Care of Mars Shipping Co Ltd , Chilgol 1-dong, Mangyongdae-guyok, Pyongyang, North Korea.",since 11/06/2002
8649840,5575722,ISM Manager,MARS SHIPPING CO LTD,"Chilgol 1-dong, Mangyongdae-guyok, Pyongyang, North Korea.",since 01/01/2014
8133530,5814866,Ship manager/Commercial manager,HAEJIN SHIP MANAGEMENT CO LTD,"Tonghung-dong, Chung-guyok, Pyongyang, North Korea.",since 10/10/2014
8133530,5821430,Registered owner,SONGJIN SHIPPING CO LTD,"Care of Haejin Ship Management Co Ltd , Tonghung-dong, Chung-guyok, Pyongyang, North Korea.",since 10/10/2014
8133530,5814866,ISM Manager,HAEJIN SHIP MANAGEMENT CO LTD,"Tonghung-dong, Chung-guyok, Pyongyang, North Korea.",since 10/10/2014
9092991,5647671,Ship manager/Commercial manager,KOREA KONBONG SHIPPING CO,"Tangsang 1-dong, Mangyongdae-guyok, Pyongyang, North Korea.",before 10/2014
9092991,5647671,Registered owner,KOREA KONBONG SHIPPING CO,"Tangsang 1-dong, Mangyongdae-guyok, Pyongyang, North Korea.",before 10/2014
9092991,5647671,ISM Manager,KOREA KONBONG SHIPPING CO,"Tangsang 1-dong, Mangyongdae-guyok, Pyongyang, North Korea.",since 01/10/2014
8323537,5341531,Ship manager/Commercial manager,KOREA YANGGAKDO SHIPPING CO,"Pongnam-dong, Pyongchon-guyok, Pyongyang, North Korea.",since 08/02/2013
8323537,5341531,Registered owner,KOREA YANGGAKDO SHIPPING CO,"Pongnam-dong, Pyongchon-guyok, Pyongyang, North Korea.",since 08/02/2013
8323537,5341531,ISM Manager,KOREA YANGGAKDO SHIPPING CO,"Pongnam-dong, Pyongchon-guyok, Pyongyang, North Korea.",since 08/02/2013
9050967,1845231,Ship manager/Commercial manager,CHONGJIN FISHERY CO,"Sunam-guyok, Chungjin, Hamgyongbuk-do, North Korea.",since 25/10/2015
9050967,1845231,Registered owner,CHONGJIN FISHERY CO,"Sunam-guyok, Chungjin, Hamgyongbuk-do, North Korea.",since 25/10/2015
9050967,1845231,ISM Manager,CHONGJIN FISHERY CO,"Sunam-guyok, Chungjin, Hamgyongbuk-do, North Korea.",since 25/10/2015
8319005,5571305,Ship manager/Commercial manager,KOREA PUKSONG SHIPPING CO,"Chilgol 2-dong, Mangyongdae-guyok, Pyongyang, North Korea.",since 14/12/2016
8319005,5962557,Registered owner,SURPLUS SEA LTD,"Care of Korea Puksong Shipping Co , Chilgol 2-dong, Mangyongdae-guyok, Pyongyang, North Korea.",since 14/12/2016
8319005,9991001,ISM Manager,UNKNOWN,,since 14/12/2016
8705539,5926921,Ship manager/Commercial manager,DAWN MARINE MANAGEMENT CO LTD,"Changgyong 2-dong, Sosong-guyok, Pyongyang, North Korea.",since 07/04/2016
8705539,5110478,Registered owner,KOREA KUMUNSAN SHIPPING CO,"Pongnam-dong, Pyongchon-guyok, Pyongyang, North Korea.",since 07/04/2016
8705539,5926921,ISM Manager,DAWN MARINE MANAGEMENT CO LTD,"Changgyong 2-dong, Sosong-guyok, Pyongyang, North Korea.",since 07/04/2016
8904824,5341531,Ship manager/Commercial manager,KOREA YANGGAKDO SHIPPING CO,"Pongnam-dong, Pyongchon-guyok, Pyongyang, North Korea.",since 18/07/2016
8904824,5651219,Registered owner,HONGKONG CHEONG SONG SHIPPING,"Care of Korea Yanggakdo Shipping Co , Pongnam-dong, Pyongchon-guyok, Pyongyang, North Korea.",since 31/12/2011
8904824,5341531,ISM Manager,KOREA YANGGAKDO SHIPPING CO,"Pongnam-dong, Pyongchon-guyok, Pyongyang, North Korea.",since 18/07/2016
8735924,1891570,Ship manager/Commercial manager,KOREA SONBONG GENERAL TRADING,"1, Kinmaul-dong, Moranbong-guyok, Pyongyang, North Korea.",since 19/10/2015
8735924,5657721,Registered owner,CHINKO SHIPPING TRADING CO LTD,"Care of Korea Sonbong General Trading Co , 1, Kinmaul-dong, Moranbong-guyok, Pyongyang, North Korea.",before 06/2011
8735924,1891570,ISM Manager,KOREA SONBONG GENERAL TRADING,"1, Kinmaul-dong, Moranbong-guyok, Pyongyang, North Korea.",since 19/10/2015
9298076,5725614,Ship manager/Commercial manager,SIUNBONG OCEAN INTL GROUP CO,"Tongmun 1-dong, Taedonggang-guyok, Pyongyang, North Korea.",before 2014
9298076,5725614,ISM Manager,SIUNBONG OCEAN INTL GROUP CO,"Tongmun 1-dong, Taedonggang-guyok, Pyongyang, North Korea.",since 01/01/2013
9298076,5725614,Registered owner,SIUNBONG OCEAN INTL GROUP CO,"Tongmun 1-dong, Taedonggang-guyok, Pyongyang, North Korea.",before 2014
9364899,5343881,Ship manager/Commercial manager,MANPUNG SHIPPING CO,"Kumsong 3-dong, Mangyongdae-guyok, Pyongyang, North Korea.",since 15/07/2014
9364899,5343881,Registered owner,MANPUNG SHIPPING CO,"Kumsong 3-dong, Mangyongdae-guyok, Pyongyang, North Korea.",since 15/07/2014
9364899,5343881,ISM Manager,MANPUNG SHIPPING CO,"Kumsong 3-dong, Mangyongdae-guyok, Pyongyang, North Korea.",since 15/07/2014
8511251,5647640,Ship manager/Commercial manager,KOREA JONSUNG TRADING CO,"Unha-dong, Potonggang-guyok, Pyongyang, North Korea.",since 18/11/2011
8511251,5647640,Registered owner,KOREA JONSUNG TRADING CO,"Unha-dong, Potonggang-guyok, Pyongyang, North Korea.",since 18/11/2011
8511251,5647640,ISM Manager,KOREA JONSUNG TRADING CO,"Unha-dong, Potonggang-guyok, Pyongyang, North Korea.",since 18/11/2011
8625545,1701459,ISM Manager,KOREA SAMILPO SHIPPING CO,"Tonghung-dong, Chung-guyok, Pyongyang, North Korea.",since 01/01/2013
8625545,1701459,Registered owner,KOREA SAMILPO SHIPPING CO,"Tonghung-dong, Chung-guyok, Pyongyang, North Korea.",since 15/07/2011
8625545,1701459,Ship manager/Commercial manager,KOREA SAMILPO SHIPPING CO,"Tonghung-dong, Chung-guyok, Pyongyang, North Korea.",since 15/07/2011
8817289,5337141,Ship manager/Commercial manager,KOREA LYEMING SHIPPING CO,"Chungsong-dong, Chung-guyok, Pyongyang, North Korea.",since 06/11/2012
8817289,5337141,Registered owner,KOREA LYEMING SHIPPING CO,"Chungsong-dong, Chung-guyok, Pyongyang, North Korea.",since 06/11/2012
8817289,5337141,ISM Manager,KOREA LYEMING SHIPPING CO,"Chungsong-dong, Chung-guyok, Pyongyang, North Korea.",since 06/11/2012
9004671,5927654,Ship manager/Commercial manager,JUNGSONG SHIPPING CO LTD,"Chungsong-dong, Chung-guyok, Pyongyang, North Korea.",since 01/06/2016
9004671,5927654,Registered owner,JUNGSONG SHIPPING CO LTD,"Chungsong-dong, Chung-guyok, Pyongyang, North Korea.",since 01/06/2016
9004671,5927654,ISM Manager,JUNGSONG SHIPPING CO LTD,"Chungsong-dong, Chung-guyok, Pyongyang, North Korea.",since 01/06/2016
9020223,5886283,Ship manager/Commercial manager,KOREA KUMDAE SHIPPING CO,"Kyongsang-dong, Chung-guyok, Pyongyang, North Korea.",since 18/09/2015
9020223,5321542,ISM Manager,KOREA MANDAE TRADING CO,"Taedongmun-dong, Chung-guyok, Pyongyang, North Korea.",since 01/03/2015
9020223,5886283,Registered owner,KOREA KUMDAE SHIPPING CO,"Kyongsang-dong, Chung-guyok, Pyongyang, North Korea.",since 18/09/2015
8891900,5614028,Ship manager/Commercial manager,KOREA KUMBYOL TRADING CO,"Taehung-dong, Songyo-guyok Pyongyang, North Korea.",before 2014
8891900,5614028,Registered owner,KOREA KUMBYOL TRADING CO,"Taehung-dong, Songyo-guyok Pyongyang, North Korea.",before 2014
8891900,5614028,ISM Manager,KOREA KUMBYOL TRADING CO,"Taehung-dong, Songyo-guyok Pyongyang, North Korea.",since 01/01/2014
8703933,1414592,Ship manager/Commercial manager,KOREA RUNGRADO SHIPPING CO,"Pulgunkori 1-dong, Potonggang-guyok, Pyongyang, North Korea.",since 15/07/2014
8703933,1414592,Registered owner,KOREA RUNGRADO SHIPPING CO,"Pulgunkori 1-dong, Potonggang-guyok, Pyongyang, North Korea.",since 15/07/2014
8703933,1414592,ISM Manager,KOREA RUNGRADO SHIPPING CO,"Pulgunkori 1-dong, Potonggang-guyok, Pyongyang, North Korea.",since 15/07/2014
9089372,5805580,Ship manager/Commercial manager,KOREA MINHUNG SHIPPING CO,"Tongan 1-dong, Chung-guyok, Pyongyang, North Korea.",since 23/01/2014
9089372,5805580,Registered owner,KOREA MINHUNG SHIPPING CO,"Tongan 1-dong, Chung-guyok, Pyongyang, North Korea.",since 23/01/2014
9089372,5805580,ISM Manager,KOREA MINHUNG SHIPPING CO,"Tongan 1-dong, Chung-guyok, Pyongyang, North Korea.",since 23/01/2014
8604917,5434358,Ship manager/Commercial manager,KOREA YUJONG SHIPPING CO LTD,"Puksong 2-dong, Pyongchon-guyok, Pyongyang, North Korea.",during 04/2009
8604917,5434358,Registered owner,KOREA YUJONG SHIPPING CO LTD,"Puksong 2-dong, Pyongchon-guyok, Pyongyang, North Korea.",during 04/2009
8604917,5434358,ISM Manager,KOREA YUJONG SHIPPING CO LTD,"Puksong 2-dong, Pyongchon-guyok, Pyongyang, North Korea.",since 01/04/2009
8862155,5647698,ISM Manager,KOREA RYONHWAN SHIPPING,"Tongmun 1-dong, Taedonggang-guyok, Pyongyang, North Korea.",since 01/02/2016
8862155,5647698,Registered owner,KOREA RYONHWAN SHIPPING,"Tongmun 1-dong, Taedonggang-guyok, Pyongyang, North Korea.",since 18/03/2010
8862155,5647698,Ship manager/Commercial manager,KOREA RYONHWAN SHIPPING,"Tongmun 1-dong, Taedonggang-guyok, Pyongyang, North Korea.",since 18/03/2010
9054688,9991001,ISM Manager,UNKNOWN,,since 01/12/2016
9054688,5954058,Registered owner,KOREA UNBONG SHIPPING CO,"Kumsong 3-dong, Mangyongdae-guyok, Pyongyang, North Korea.",since 21/11/2016
9054688,5954058,Ship manager/Commercial manager,KOREA UNBONG SHIPPING CO,"Kumsong 3-dong, Mangyongdae-guyok, Pyongyang, North Korea.",since 21/11/2016
8955495,5434327,ISM Manager,KOREA JONSONG SHIPPING CO LTD,"Rakrang-guyok, Pyongyang, North Korea.",since 01/01/2013
8955495,5434327,Registered owner,KOREA JONSONG SHIPPING CO LTD,"Rakrang-guyok, Pyongyang, North Korea.",during 04/2009
8955495,5434327,Ship manager/Commercial manager,KOREA JONSONG SHIPPING CO LTD,"Rakrang-guyok, Pyongyang, North Korea.",during 04/2009
7389704,5614028,Ship manager/Commercial manager,KOREA KUMBYOL TRADING CO,"Taehung-dong, Songyo-guyok Pyongyang, North Korea.",since 01/04/2013
7389704,5614028,Registered owner,KOREA KUMBYOL TRADING CO,"Taehung-dong, Songyo-guyok Pyongyang, North Korea.",since 01/04/2013
7389704,5614028,ISM Manager,KOREA KUMBYOL TRADING CO,"Taehung-dong, Songyo-guyok Pyongyang, North Korea.",since 01/04/2013
8408193,5647671,Ship manager/Commercial manager,KOREA KONBONG SHIPPING CO,"Tangsang 1-dong, Mangyongdae-guyok, Pyongyang, North Korea.",before 10/2014
8408193,5647671,Registered owner,KOREA KONBONG SHIPPING CO,"Tangsang 1-dong, Mangyongdae-guyok, Pyongyang, North Korea.",before 10/2014
8408193,5647671,ISM Manager,KOREA KONBONG SHIPPING CO,"Tangsang 1-dong, Mangyongdae-guyok, Pyongyang, North Korea.",since 01/10/2014
8630382,5434344,Ship manager/Commercial manager,KOREA JANGSAENG TRADING CO LTD,"Kwanmun 2-dong, Rakrang-guyok, Pyongyang, North Korea.",during 03/2014
8630382,5434344,Registered owner,KOREA JANGSAENG TRADING CO LTD,"Kwanmun 2-dong, Rakrang-guyok, Pyongyang, North Korea.",during 03/2014
8630382,5434344,ISM Manager,KOREA JANGSAENG TRADING CO LTD,"Kwanmun 2-dong, Rakrang-guyok, Pyongyang, North Korea.",since 01/03/2014
8713471,5647684,ISM Manager,MIRIM SHIPPING CO LTD,"Tonghung-dong, Chung-guyok, Pyongyang, North Korea.",since 01/01/2013
8713471,5647684,Registered owner,MIRIM SHIPPING CO LTD,"Tonghung-dong, Chung-guyok, Pyongyang, North Korea.",since 18/08/2011
8713471,5647684,Ship manager/Commercial manager,MIRIM SHIPPING CO LTD,"Tonghung-dong, Chung-guyok, Pyongyang, North Korea.",since 18/08/2011
8922436,5146476,ISM Manager,KOREA KUMRUNG TRADING CO LTD,"Songuja-dong, Mangyongdae-guyok, Pyongyang, North Korea.",since 30/07/2010
8922436,5146476,Registered owner,KOREA KUMRUNG TRADING CO LTD,"Songuja-dong, Mangyongdae-guyok, Pyongyang, North Korea.",since 18/05/2002
8922436,5146476,Ship manager/Commercial manager,KOREA KUMRUNG TRADING CO LTD,"Songuja-dong, Mangyongdae-guyok, Pyongyang, North Korea.",since 18/05/2002
9338981,5928621,Ship manager/Commercial manager,RASON CHANGPHYONG SHIPPING CO,"Yuhyon-dong, Rajin-guyok, Rason, North Korea.",since 23/06/2016
9338981,5928621,Registered owner,RASON CHANGPHYONG SHIPPING CO,"Yuhyon-dong, Rajin-guyok, Rason, North Korea.",since 23/06/2016
9338981,5928621,ISM Manager,RASON CHANGPHYONG SHIPPING CO,"Yuhyon-dong, Rajin-guyok, Rason, North Korea.",since 23/06/2016
8660313,5936312,Ship manager/Commercial manager,KOREA ACHIM SHIPPING CO,"Sochang-dong, Chung-guyok, Pyongyang, North Korea.",before 08/2016
8660313,5936312,Registered owner,KOREA ACHIM SHIPPING CO,"Sochang-dong, Chung-guyok, Pyongyang, North Korea.",before 08/2016
8660313,5936312,ISM Manager,KOREA ACHIM SHIPPING CO,"Sochang-dong, Chung-guyok, Pyongyang, North Korea.",since 01/08/2016
8913186,5954058,Ship manager/Commercial manager,KOREA UNBONG SHIPPING CO,"Kumsong 3-dong, Mangyongdae-guyok, Pyongyang, North Korea.",since 23/11/2016
8913186,5954058,Registered owner,KOREA UNBONG SHIPPING CO,"Kumsong 3-dong, Mangyongdae-guyok, Pyongyang, North Korea.",since 23/11/2016
8913186,9991001,ISM Manager,UNKNOWN,,since 23/11/2016
7303279,5565156,Ship manager/Commercial manager,BARAKAT AL-ASHOOR MARINE SERV,"al-Istiqlal Street, al-Ashar, Basrah, Iraq.",since 24/04/2006
7303279,5565156,ISM Manager,BARAKAT AL-ASHOOR MARINE SERV,"al-Istiqlal Street, al-Ashar, Basrah, Iraq.",since 01/11/1997
7303279,5565156,Registered owner,BARAKAT AL-ASHOOR MARINE SERV,"al-Istiqlal Street, al-Ashar, Basrah, Iraq.",since 24/04/2006
8029985,5522496,Ship manager/Commercial manager,KOREA KANGSONG TRADING CO,"Apgang-dong, Sinuiju, Pyong-anbuk-do, North Korea.",before 06/2011
8029985,5522496,Registered owner,KOREA KANGSONG TRADING CO,"Apgang-dong, Sinuiju, Pyong-anbuk-do, North Korea.",before 06/2011
8029985,5522496,ISM Manager,KOREA KANGSONG TRADING CO,"Apgang-dong, Sinuiju, Pyong-anbuk-do, North Korea.",since 01/06/2011
9338979,5924663,Ship manager/Commercial manager,RASON SHIPPING CO,"Changpyong-dong, Rajin-guyok, Rason, North Korea.",since 27/04/2016
9338979,5924663,Registered owner,RASON SHIPPING CO,"Changpyong-dong, Rajin-guyok, Rason, North Korea.",since 27/04/2016
9338979,5924663,ISM Manager,RASON SHIPPING CO,"Changpyong-dong, Rajin-guyok, Rason, North Korea.",since 27/04/2016
9361407,5647684,ISM Manager,MIRIM SHIPPING CO LTD,"Tonghung-dong, Chung-guyok, Pyongyang, North Korea.",since 26/11/2013
9361407,5647684,Registered owner,MIRIM SHIPPING CO LTD,"Tonghung-dong, Chung-guyok, Pyongyang, North Korea.",since 28/10/2013
9361407,5647684,Ship manager/Commercial manager,MIRIM SHIPPING CO LTD,"Tonghung-dong, Chung-guyok, Pyongyang, North Korea.",since 28/10/2013
8503228,5878561,Ship manager/Commercial manager,PHYONGCHON SHIPPING & MARINE,"Otan-dong, Chung-guyok, Pyongyang, North Korea.",during 08/2015
8503228,5878561,Registered owner,PHYONGCHON SHIPPING & MARINE,"Otan-dong, Chung-guyok, Pyongyang, North Korea.",during 08/2015
8503228,5878561,ISM Manager,PHYONGCHON SHIPPING & MARINE,"Otan-dong, Chung-guyok, Pyongyang, North Korea.",since 01/08/2015
9066540,5787684,Ship manager/Commercial manager,HAPJANGGANG SHIPPING CORP,"Kumsong 3-dong, Mangyongdae-guyok, Pyongyang, North Korea.",since 11/12/2013
9066540,5787684,Registered owner,HAPJANGGANG SHIPPING CORP,"Kumsong 3-dong, Mangyongdae-guyok, Pyongyang, North Korea.",since 11/12/2013
9066540,5787684,ISM Manager,HAPJANGGANG SHIPPING CORP,"Kumsong 3-dong, Mangyongdae-guyok, Pyongyang, North Korea.",since 11/12/2013
8983404,5614028,ISM Manager,KOREA KUMBYOL TRADING CO,"Taehung-dong, Songyo-guyok Pyongyang, North Korea.",since 01/01/2013
8983404,5614028,Registered owner,KOREA KUMBYOL TRADING CO,"Taehung-dong, Songyo-guyok Pyongyang, North Korea.",during 06/2011
8983404,5614028,Ship manager/Commercial manager,KOREA KUMBYOL TRADING CO,"Taehung-dong, Songyo-guyok Pyongyang, North Korea.",during 06/2011
8672897,5850855,Ship manager/Commercial manager,KOREA HAEJIN SHIPPING CO,"Haeun 2-dong, Pyongchon-guyok, Pyongyang, North Korea.",since 02/03/2015
8672897,5850855,Registered owner,KOREA HAEJIN SHIPPING CO,"Haeun 2-dong, Pyongchon-guyok, Pyongyang, North Korea.",since 02/03/2015
8672897,5850855,ISM Manager,KOREA HAEJIN SHIPPING CO,"Haeun 2-dong, Pyongchon-guyok, Pyongyang, North Korea.",since 02/03/2015
8995990,5348658,Ship manager/Commercial manager,HAESONG SHIPPING CO,"Palgol-dong, Mangyongdae-guyok, Pyongyang, North Korea.",since 09/01/2014
8995990,5348658,Registered owner,HAESONG SHIPPING CO,"Palgol-dong, Mangyongdae-guyok, Pyongyang, North Korea.",since 09/01/2014
8995990,5348658,ISM Manager,HAESONG SHIPPING CO,"Palgol-dong, Mangyongdae-guyok, Pyongyang, North Korea.",since 09/01/2014
6908096,5614028,ISM Manager,KOREA KUMBYOL TRADING CO,"Taehung-dong, Songyo-guyok Pyongyang, North Korea.",since 01/08/2015
6908096,5614028,Registered owner,KOREA KUMBYOL TRADING CO,"Taehung-dong, Songyo-guyok Pyongyang, North Korea.",since 18/06/1998
6908096,5614028,Ship manager/Commercial manager,KOREA KUMBYOL TRADING CO,"Taehung-dong, Songyo-guyok Pyongyang, North Korea.",since 18/06/1998
8658267,5614028,Ship manager/Commercial manager,KOREA KUMBYOL TRADING CO,"Taehung-dong, Songyo-guyok Pyongyang, North Korea.",since 16/12/2008
8658267,5614028,Registered owner,KOREA KUMBYOL TRADING CO,"Taehung-dong, Songyo-guyok Pyongyang, North Korea.",since 16/12/2008
8658267,5614028,ISM Manager,KOREA KUMBYOL TRADING CO,"Taehung-dong, Songyo-guyok Pyongyang, North Korea.",since 16/12/2008
8405311,9991001,ISM Manager,UNKNOWN,,since 01/12/2016
8405311,5954061,Registered owner,KOREA SAMJONG SHIPPING CO,"Tonghung-dong, Chung-guyok, Pyongyang, North Korea.",since 23/11/2016
8405311,5954061,Ship manager/Commercial manager,KOREA SAMJONG SHIPPING CO,"Tonghung-dong, Chung-guyok, Pyongyang, North Korea.",since 23/11/2016
9004073,5963348,Ship manager/Commercial manager,SONGCHONGANG WATER TRANSPORT,"Unjong-dong, Songchongang-guyok, Hamhung, Hamgyongnam-do, North Korea.",since 17/11/2016
9004073,5963348,Registered owner,SONGCHONGANG WATER TRANSPORT,"Unjong-dong, Songchongang-guyok, Hamhung, Hamgyongnam-do, North Korea.",since 17/11/2016
9004073,9991001,ISM Manager,UNKNOWN,,since 17/11/2016
7402178,5614028,Ship manager/Commercial manager,KOREA KUMBYOL TRADING CO,"Taehung-dong, Songyo-guyok Pyongyang, North Korea.",before 01/2013
7402178,5614028,Registered owner,KOREA KUMBYOL TRADING CO,"Taehung-dong, Songyo-guyok Pyongyang, North Korea.",before 01/2013
7402178,5614028,ISM Manager,KOREA KUMBYOL TRADING CO,"Taehung-dong, Songyo-guyok Pyongyang, North Korea.",since 01/01/2013
7518642,0613729,ISM Manager,KOREA DAEHUNG SHIPPING CO,"Chungsong 1-dong, Rakrang-guyok, Pyongyang, North Korea.",since 01/01/2013
7518642,0613729,Registered owner,KOREA DAEHUNG SHIPPING CO,"Chungsong 1-dong, Rakrang-guyok, Pyongyang, North Korea.",before 1999
7518642,0613729,Ship manager/Commercial manager,KOREA DAEHUNG SHIPPING CO,"Chungsong 1-dong, Rakrang-guyok, Pyongyang, North Korea.",before 1999
8603286,9991001,ISM Manager,UNKNOWN,,since 01/12/2016
8603286,5954031,Registered owner,KOREA SONDOK TRADE & SHIPPING,"Chilgol 2-dong, Mangyongdae-guyok, Pyongyang, North Korea.",since 19/11/2016
8603286,5954031,Ship manager/Commercial manager,KOREA SONDOK TRADE & SHIPPING,"Chilgol 2-dong, Mangyongdae-guyok, Pyongyang, North Korea.",since 19/11/2016
8680014,5903601,Ship manager/Commercial manager,KIMCHAEK MANSON TRADING CO,"Haean-dong, Kimchaek, Hamgyongbuk-do, North Korea.",since 14/05/2015
8680014,5903601,Registered owner,KIMCHAEK MANSON TRADING CO,"Haean-dong, Kimchaek, Hamgyongbuk-do, North Korea.",since 14/05/2015
8680014,5903601,ISM Manager,KIMCHAEK MANSON TRADING CO,"Haean-dong, Kimchaek, Hamgyongbuk-do, North Korea.",since 14/05/2015
8651415,1790444,Ship manager/Commercial manager,KOREA NAMSAN SHPG CORP,"Munhwa-dong, Hanggu-guyok, Nampho, North Korea.",since 17/10/2002
8651415,1790444,Registered owner,KOREA NAMSAN SHPG CORP,"Munhwa-dong, Hanggu-guyok, Nampho, North Korea.",since 17/10/2002
8651415,1790444,ISM Manager,KOREA NAMSAN SHPG CORP,"Munhwa-dong, Hanggu-guyok, Nampho, North Korea.",since 17/10/2002
8743660,5146401,Ship manager/Commercial manager,KOREA SOGYONG TRADING CORP,"Ryugyong 1-dong, Potonggang-guyok, Pyongyang, North Korea.",since 04/08/2010
8743660,5146401,Registered owner,KOREA SOGYONG TRADING CORP,"Ryugyong 1-dong, Potonggang-guyok, Pyongyang, North Korea.",since 04/08/2010
8743660,5146401,ISM Manager,KOREA SOGYONG TRADING CORP,"Ryugyong 1-dong, Potonggang-guyok, Pyongyang, North Korea.",since 04/08/2010
8891871,1833502,ISM Manager,KOREA TUMANGANG SHPG CO,"Ingok-dong, Chongam-guyok, Chungjin, Hamgyongbuk-do, North Korea.",since 01/01/2012
8891871,1833502,Registered owner,KOREA TUMANGANG SHPG CO,"Ingok-dong, Chongam-guyok, Chungjin, Hamgyongbuk-do, North Korea.",before 1999
8891871,1833502,Ship manager/Commercial manager,KOREA TUMANGANG SHPG CO,"Ingok-dong, Chongam-guyok, Chungjin, Hamgyongbuk-do, North Korea.",before 1999
8150605,5725371,Ship manager/Commercial manager,SANGMYONG TRADING GENERAL CORP,"Ryongbuk-dong, Taesong-guyok, Pyongyang, North Korea.",since 10/07/2008
8150605,5725371,ISM Manager,SANGMYONG TRADING GENERAL CORP,"Ryongbuk-dong, Taesong-guyok, Pyongyang, North Korea.",since 01/07/2008
8150605,5725371,Registered owner,SANGMYONG TRADING GENERAL CORP,"Ryongbuk-dong, Taesong-guyok, Pyongyang, North Korea.",since 10/07/2008
7209112,5728463,Ship manager/Commercial manager,KOREA SUNGJIN SHIPPING CO,"Sojang-dong, Potonggang-guyok, Pyongyang, North Korea.",since 19/08/2003
7209112,5728463,ISM Manager,KOREA SUNGJIN SHIPPING CO,"Sojang-dong, Potonggang-guyok, Pyongyang, North Korea.",since 01/11/1997
7209112,5728463,Registered owner,KOREA SUNGJIN SHIPPING CO,"Sojang-dong, Potonggang-guyok, Pyongyang, North Korea.",since 19/08/2003
7225324,5728463,Ship manager/Commercial manager,KOREA SUNGJIN SHIPPING CO,"Sojang-dong, Potonggang-guyok, Pyongyang, North Korea.",since 14/12/1993
7225324,5728463,Registered owner,KOREA SUNGJIN SHIPPING CO,"Sojang-dong, Potonggang-guyok, Pyongyang, North Korea.",since 14/12/1993
7225324,5728463,ISM Manager,KOREA SUNGJIN SHIPPING CO,"Sojang-dong, Potonggang-guyok, Pyongyang, North Korea.",since 14/12/1993
7327419,5728463,Ship manager/Commercial manager,KOREA SUNGJIN SHIPPING CO,"Sojang-dong, Potonggang-guyok, Pyongyang, North Korea.",during 04/2009
7327419,5728463,Registered owner,KOREA SUNGJIN SHIPPING CO,"Sojang-dong, Potonggang-guyok, Pyongyang, North Korea.",during 04/2009
7327419,5728463,ISM Manager,KOREA SUNGJIN SHIPPING CO,"Sojang-dong, Potonggang-guyok, Pyongyang, North Korea.",since 01/04/2009
8832227,5341531,Ship manager/Commercial manager,KOREA YANGGAKDO SHIPPING CO,"Pongnam-dong, Pyongchon-guyok, Pyongyang, North Korea.",since 28/07/2006
8832227,5341531,Registered owner,KOREA YANGGAKDO SHIPPING CO,"Pongnam-dong, Pyongchon-guyok, Pyongyang, North Korea.",since 28/07/2006
8832227,5341531,ISM Manager,KOREA YANGGAKDO SHIPPING CO,"Pongnam-dong, Pyongchon-guyok, Pyongyang, North Korea.",since 28/07/2006
7506118,5145243,Ship manager/Commercial manager,KOREA DAEBONG SHIPPING CO,"Ansan 1-dong, Pyongchon-guyok, Pyongyang, North Korea.",during 2003
7506118,5145243,Registered owner,KOREA DAEBONG SHIPPING CO,"Ansan 1-dong, Pyongchon-guyok, Pyongyang, North Korea.",during 2003
7506118,5145243,ISM Manager,KOREA DAEBONG SHIPPING CO,"Ansan 1-dong, Pyongchon-guyok, Pyongyang, North Korea.",since 01/01/2003
7431117,5321644,Ship manager/Commercial manager,KOREA 222 SHIPPING & TRADING,"Rakrang 3-dong, Rakrang-guyok, Pyongyang, North Korea.",since 14/03/2007
7431117,5321644,Registered owner,KOREA 222 SHIPPING & TRADING,"Rakrang 3-dong, Rakrang-guyok, Pyongyang, North Korea.",since 14/03/2007
7431117,5321644,ISM Manager,KOREA 222 SHIPPING & TRADING,"Rakrang 3-dong, Rakrang-guyok, Pyongyang, North Korea.",since 14/03/2007
7910383,5666689,Ship manager/Commercial manager,SONBONG COMMERCIAL TRADING CO,"Ryonhwa 2-dong, Chung-guyok, Pyongyang, North Korea.",before 01/2013
7910383,5666689,Registered owner,SONBONG COMMERCIAL TRADING CO,"Ryonhwa 2-dong, Chung-guyok, Pyongyang, North Korea.",before 01/2013
7910383,5666689,ISM Manager,SONBONG COMMERCIAL TRADING CO,"Ryonhwa 2-dong, Chung-guyok, Pyongyang, North Korea.",since 01/01/2013
8210699,1648029,Ship manager/Commercial manager,KOREA DAESONG SHIPPING CO,"Kyonghung-dong, Potonggang-guyok, Pyongyang, North Korea.",during 05/2000
8210699,1648029,Registered owner,KOREA DAESONG SHIPPING CO,"Kyonghung-dong, Potonggang-guyok, Pyongyang, North Korea.",during 05/2000
8210699,1648029,ISM Manager,KOREA DAESONG SHIPPING CO,"Kyonghung-dong, Potonggang-guyok, Pyongyang, North Korea.",since 01/05/2000
9055618,5647667,Ship manager/Commercial manager,APROKGANG SHIPPING & TRADING,"Apgang-dong, Sinuiju, Pyong-anbuk-do, North Korea.",since 30/05/2012
