ship_imo,company_imo,role,company_name,company_address,date_of_effect
8863733,5954044,Ship manager/Commercial manager,KOREA JASONG SHIPPING CO,"Ryukkyo 2-dong, Pyongchon-guyok, Pyongyang, North Korea.",since 03/10/2016
8863733,5954044,Registered owner,KOREA JASONG SHIPPING CO,"Ryukkyo 2-dong, Pyongchon-guyok, Pyongyang, North Korea.",since 03/10/2016
8863733,9991001,ISM Manager,UNKNOWN,,since 03/10/2016
8018912,5814866,Ship manager/Commercial manager,HAEJIN SHIP MANAGEMENT CO LTD,"Tonghung-dong, Chung-guyok, Pyongyang, North Korea.",since 05/09/2014
8018912,5817772,Registered owner,RYONGRIM SHIPPING CO LTD,"Care of Haejin Ship Management Co Ltd , Tonghung-dong, Chung-guyok, Pyongyang, North Korea.",since 05/09/2014
8018912,5814866,ISM Manager,HAEJIN SHIP MANAGEMENT CO LTD,"Tonghung-dong, Chung-guyok, Pyongyang, North Korea.",since 05/09/2014
8405270,5817790,Ship manager/Commercial manager,PYONGJIN SHIP MANAGEMENT CO,"Ryukkyo 1-dong, Pyongchon-guyok, Pyongyang, North Korea.",before 10/2014
8405270,5817812,Registered owner,HUICHON SHIPPING CO LTD,"Care of Pyongjin Ship Management Co Ltd , Ryukkyo 1-dong, Pyongchon-guyok, Pyongyang, North Korea.",before 10/2014
8405270,5817790,ISM Manager,PYONGJIN SHIP MANAGEMENT CO,"Ryukkyo 1-dong, Pyongchon-guyok, Pyongyang, North Korea.",since 01/10/2014
8828927,5954058,Ship manager/Commercial manager,KOREA UNBONG SHIPPING CO,"Kumsong 3-dong, Mangyongdae-guyok, Pyongyang, North Korea.",since 18/10/2016
8828927,5954058,Registered owner,KOREA UNBONG SHIPPING CO,"Kumsong 3-dong, Mangyongdae-guyok, Pyongyang, North Korea.",since 18/10/2016
8828927,9991001,ISM Manager,UNKNOWN,,since 18/10/2016
9020534,5787653,Ship manager/Commercial manager,KOREA RUNGRADO RYONGAK TRADING,"Pulgunkori 2-dong, Potonggang-guyok, Pyongyang, North Korea.",since 05/08/2015
9020534,5787653,Registered owner,KOREA RUNGRADO RYONGAK TRADING,"Pulgunkori 2-dong, Potonggang-guyok, Pyongyang, North Korea.",since 05/08/2015
9020534,5787653,ISM Manager,KOREA RUNGRADO RYONGAK TRADING,"Pulgunkori 2-dong, Potonggang-guyok, Pyongyang, North Korea.",since 05/08/2015
8739396,5926921,Ship manager/Commercial manager,DAWN MARINE MANAGEMENT CO LTD,"Changgyong 2-dong, Sosong-guyok, Pyongyang, North Korea.",since 18/07/2016
8739396,5926921,Registered owner,DAWN MARINE MANAGEMENT CO LTD,"Changgyong 2-dong, Sosong-guyok, Pyongyang, North Korea.",since 18/07/2016
8739396,5926921,ISM Manager,DAWN MARINE MANAGEMENT CO LTD,"Changgyong 2-dong, Sosong-guyok, Pyongyang, North Korea.",since 18/07/2016
8713457,5787653,Ship manager/Commercial manager,KOREA RUNGRADO RYONGAK TRADING,"Pulgunkori 2-dong, Potonggang-guyok, Pyongyang, North Korea.",before 03/2015
8713457,5787653,Registered owner,KOREA RUNGRADO RYONGAK TRADING,"Pulgunkori 2-dong, Potonggang-guyok, Pyongyang, North Korea.",since 20/12/2012
8713457,5787653,ISM Manager,KOREA RUNGRADO RYONGAK TRADING,"Pulgunkori 2-dong, Potonggang-guyok, Pyongyang, North Korea.",since 01/03/2015
8416023,5648339,Ship manager/Commercial manager,KOREA JINHUNG 8 SHIPPING CO,"Chilgol 1-dong, Mangyongdae-guyok, Pyongyang, North Korea.",since 18/09/2011
8416023,5648339,Registered owner,KOREA JINHUNG 8 SHIPPING CO,"Chilgol 1-dong, Mangyongdae-guyok, Pyongyang, North Korea.",since 18/09/2011
8416023,5648339,ISM Manager,KOREA JINHUNG 8 SHIPPING CO,"Chilgol 1-dong, Mangyongdae-guyok, Pyongyang, North Korea.",since 18/09/2011
8937675,1845244,Ship manager/Commercial manager,NAMPHO FISHERY CO,"Ryongnam-ri, Waudo-guyok, Nampho, North Korea.",since 02/04/2016
