,North Korea,Russia,Sierra Leone,Cambodia,Tonga,Sao Tome & Principe,Bolivia,Malta,Panama,Liberia,Portugal,Belize,Mongolia,Japan,Togo,Thailand,Cyprus,Turkey,Tuvalu,South Korea,Malaysia,Philippines,Unknown,Honduras,Tanzania,Kiribati,India,Singapore,China,St Vincent & The Grenadines,Niue,Maldives,Bahamas,Hong Kong,Antigua & Barbuda,Germany,Federal Rep. of Germany,Georgia,Vanuatu,Greece,Jamaica,Cayman Islands (British),Cook Islands,St Kitts & Nevis,Palau,Moldova,Vietnam,Micronesia,Union of Comoros,Equatorial Guinea,Fiji,Norway (NIS),Antarctic Terr. (French),France,Chinese Taipei,Indonesia,Egypt,Romania,Marshall Islands
2017-02-23,154,0,8,0,0,0,0,0,8,0,0,5,0,0,13,1,0,0,0,0,0,1,47,0,4,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,6,0,1,0,2,2,0,1,4,0,0,0,0,0,0,0,0,0,0
2017-02-24,154,0,8,0,0,0,0,0,8,0,0,5,0,0,13,1,0,0,0,0,0,1,47,0,4,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,6,0,1,0,2,2,0,1,4,0,0,0,0,0,0,0,0,0,0
2017-02-25,154,0,8,0,0,0,0,0,8,0,0,5,0,0,13,1,0,0,0,0,0,1,47,0,4,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,6,0,1,0,2,2,0,1,4,0,0,0,0,0,0,0,0,0,0
2017-02-26,154,0,8,0,0,0,0,0,8,0,0,5,0,0,13,1,0,0,0,0,0,1,47,0,4,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,6,0,1,0,2,2,0,1,4,0,0,0,0,0,0,0,0,0,0
2017-02-27,154,0,8,0,0,0,0,0,8,0,0,5,0,0,13,1,0,0,0,0,0,1,47,0,4,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,6,0,1,0,2,2,0,1,4,0,0,0,0,0,0,0,0,0,0
2017-02-28,154,0,8,0,0,0,0,0,8,0,0,5,0,0,13,1,0,0,0,0,0,1,47,0,4,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,6,0,1,0,2,2,0,1,4,0,0,0,0,0,0,0,0,0,0
2017-03-01,154,0,8,0,0,0,0,0,8,0,0,5,0,0,13,1,0,0,0,0,0,1,47,0,4,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,6,0,1,0,2,2,0,1,4,0,0,0,0,0,0,0,0,0,0
2017-03-02,154,0,8,0,0,0,0,0,8,0,0,5,0,0,13,1,0,0,0,0,0,1,47,0,4,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,6,0,1,0,2,2,0,1,4,0,0,0,0,0,0,0,0,0,0
2017-03-03,154,0,8,0,0,0,0,0,8,0,0,5,0,0,13,1,0,0,0,0,0,1,47,0,4,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,6,0,1,0,2,2,0,1,4,0,0,0,0,0,0,0,0,0,0
2017-03-04,154,0,8,0,0,0,0,0,8,0,0,5,0,0,13,1,0,0,0,0,0,1,47,0,4,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,6,0,1,0,2,2,0,1,4,0,0,0,0,0,0,0,0,0,0
2017-03-05,154,0,8,0,0,0,0,0,8,0,0,5,0,0,13,1,0,0,0,0,0,1,47,0,4,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,6,0,1,0,2,2,0,1,4,0,0,0,0,0,0,0,0,0,0
2017-03-06,154,0,8,0,0,0,0,0,8,0,0,5,0,0,13,1,0,0,0,0,0,1,47,0,4,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,6,0,1,0,2,2,0,1,4,0,0,0,0,0,0,0,0,0,0
2017-03-07,154,0,8,0,0,0,0,0,8,0,0,5,0,0,13,1,0,0,0,0,0,1,47,0,4,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,6,0,1,0,2,2,0,1,4,0,0,0,0,0,0,0,0,0,0
2017-03-08,154,0,8,0,0,0,0,0,8,0,0,5,0,0,13,1,0,0,0,0,0,1,47,0,4,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,6,0,1,0,2,2,0,1,4,0,0,0,0,0,0,0,0,0,0
2017-03-09,154,0,8,0,0,0,0,0,8,0,0,5,0,0,13,1,0,0,0,0,0,1,47,0,4,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,6,0,1,0,2,2,0,1,4,0,0,0,0,0,0,0,0,0,0
2017-03-10,154,0,8,0,0,0,0,0,8,0,0,5,0,0,13,1,0,0,0,0,0,1,47,0,4,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,6,0,1,0,2,2,0,1,4,0,0,0,0,0,0,0,0,0,0
2017-03-11,154,0,8,0,0,0,0,0,8,0,0,5,0,0,13,1,0,0,0,0,0,1,47,0,4,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,6,0,1,0,2,2,0,1,4,0,0,0,0,0,0,0,0,0,0
2017-03-12,154,0,8,0,0,0,0,0,8,0,0,5,0,0,13,1,0,0,0,0,0,1,47,0,4,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,6,0,1,0,2,2,0,1,4,0,0,0,0,0,0,0,0,0,0
2017-03-13,154,0,8,0,0,0,0,0,8,0,0,5,0,0,13,1,0,0,0,0,0,1,47,0,4,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,6,0,1,0,2,2,0,1,4,0,0,0,0,0,0,0,0,0,0
2017-03-14,154,0,8,0,0,0,0,0,8,0,0,5,0,0,13,1,0,0,0,0,0,1,47,0,4,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,6,0,1,0,2,2,0,1,4,0,0,0,0,0,0,0,0,0,0
2017-03-15,154,0,8,0,0,0,0,0,8,0,0,5,0,0,13,1,0,0,0,0,0,1,47,0,4,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,6,0,1,0,2,2,0,1,4,0,0,0,0,0,0,0,0,0,0
2017-03-16,154,0,8,0,0,0,0,0,8,0,0,5,0,0,13,1,0,0,0,0,0,1,47,0,4,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,6,0,1,0,2,2,0,1,4,0,0,0,0,0,0,0,0,0,0
2017-03-17,154,0,8,0,0,0,0,0,8,0,0,5,0,0,13,1,0,0,0,0,0,1,47,0,4,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,6,0,1,0,2,2,0,1,4,0,0,0,0,0,0,0,0,0,0
2017-03-18,154,0,8,0,0,0,0,0,8,0,0,5,0,0,13,1,0,0,0,0,0,1,47,0,4,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,6,0,1,0,2,2,0,1,4,0,0,0,0,0,0,0,0,0,0
2017-03-19,154,0,8,0,0,0,0,0,8,0,0,5,0,0,13,1,0,0,0,0,0,1,47,0,4,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,6,0,1,0,2,2,0,1,4,0,0,0,0,0,0,0,0,0,0
2017-03-20,154,0,8,0,0,0,0,0,8,0,0,5,0,0,13,1,0,0,0,0,0,1,47,0,4,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,6,0,1,0,2,2,0,1,4,0,0,0,0,0,0,0,0,0,0
